Filename                     Protein-1    Protein-2    Num-puncta-1    Num-puncta-2    Num-Colocalized    Colocalization-1    Colocalization-2    Threshold
BNI1-640nm_416_bidi_001.tif  BNI1         CLN3         35              2992            20                 0.57143             0.00668             300
CLN3-561nm_416_bidi_001.tif  BNI1         CLN3         35              2992            20                 0.57143             0.00668             300
BNI1-640nm_416_bidi_002.tif  BNI1         CLN3         127             4218            85                 0.66929             0.02015             300
CLN3-561nm_416_bidi_002.tif  BNI1         CLN3         127             4218            85                 0.66929             0.02015             300
BNI1-640nm_416_bidi_003.tif  BNI1         CLN3         980             1035            103                0.10510             0.09952             300
CLN3-561nm_416_bidi_003.tif  BNI1         CLN3         980             1035            103                0.10510             0.09952             300
BNI1-640nm_416_bidi_004.tif  BNI1         CLN3         83              1962            50                 0.60241             0.02548             300
CLN3-561nm_416_bidi_004.tif  BNI1         CLN3         83              1962            50                 0.60241             0.02548             300
BNI1-640nm_416_bidi_005.tif  BNI1         CLN3         133             4378            82                 0.61654             0.01873             300
CLN3-561nm_416_bidi_005.tif  BNI1         CLN3         133             4378            82                 0.61654             0.01873             300
BNI1-640nm_416_bidi_006.tif  BNI1         CLN3         160             146             44                 0.27500             0.30137             300
CLN3-561nm_416_bidi_006.tif  BNI1         CLN3         160             146             44                 0.27500             0.30137             300
BNI1-640nm_416_bidi_007.tif  BNI1         CLN3         90              89              27                 0.30000             0.30337             300
CLN3-561nm_416_bidi_007.tif  BNI1         CLN3         90              89              27                 0.30000             0.30337             300
BNI1-640nm_416_bidi_008.tif  BNI1         CLN3         2098            2699            220                0.10486             0.08151             300
CLN3-561nm_416_bidi_008.tif  BNI1         CLN3         2098            2699            220                0.10486             0.08151             300
BNI1-640nm_416_bidi_009.tif  BNI1         CLN3         159             132             56                 0.35220             0.42424             300
CLN3-561nm_416_bidi_009.tif  BNI1         CLN3         159             132             56                 0.35220             0.42424             300
BNI1-640nm_416_bidi_010.tif  BNI1         CLN3         74              2449            48                 0.64865             0.01960             300
CLN3-561nm_416_bidi_010.tif  BNI1         CLN3         74              2449            48                 0.64865             0.01960             300
BNI1-640nm_416_bidi_011.tif  BNI1         CLN3         125             6731            85                 0.68000             0.01263             300
CLN3-561nm_416_bidi_011.tif  BNI1         CLN3         125             6731            85                 0.68000             0.01263             300
BNI1-640nm_416_bidi_012.tif  BNI1         CLN3         86              2921            41                 0.47674             0.01404             300
CLN3-561nm_416_bidi_012.tif  BNI1         CLN3         86              2921            41                 0.47674             0.01404             300
BNI1-640nm_416_bidi_013.tif  BNI1         CLN3         78              3779            55                 0.70513             0.01455             300
CLN3-561nm_416_bidi_013.tif  BNI1         CLN3         78              3779            55                 0.70513             0.01455             300
BNI1-640nm_416_bidi_014.tif  BNI1         CLN3         74              4606            40                 0.54054             0.00868             300
CLN3-561nm_416_bidi_014.tif  BNI1         CLN3         74              4606            40                 0.54054             0.00868             300
BNI1-640nm_416_bidi_015.tif  BNI1         CLN3         103             4189            62                 0.60194             0.01480             300
CLN3-561nm_416_bidi_015.tif  BNI1         CLN3         103             4189            62                 0.60194             0.01480             300
BNI1-640nm_416_bidi_016.tif  BNI1         CLN3         1763            2107            171                0.09699             0.08116             300
CLN3-561nm_416_bidi_016.tif  BNI1         CLN3         1763            2107            171                0.09699             0.08116             300
BNI1-640nm_416_bidi_017.tif  BNI1         CLN3         82              4004            51                 0.62195             0.01274             300
CLN3-561nm_416_bidi_017.tif  BNI1         CLN3         82              4004            51                 0.62195             0.01274             300
BNI1-640nm_416_bidi_018.tif  BNI1         CLN3         153             5295            100                0.65359             0.01889             300
CLN3-561nm_416_bidi_018.tif  BNI1         CLN3         153             5295            100                0.65359             0.01889             300
BNI1-640nm_416_bidi_019.tif  BNI1         CLN3         97              4837            44                 0.45361             0.00910             300
CLN3-561nm_416_bidi_019.tif  BNI1         CLN3         97              4837            44                 0.45361             0.00910             300
BNI1-640nm_416_bidi_020.tif  BNI1         CLN3         92              4418            51                 0.55435             0.01154             300
CLN3-561nm_416_bidi_020.tif  BNI1         CLN3         92              4418            51                 0.55435             0.01154             300
BNI1-640nm_416_bidi_021.tif  BNI1         CLN3         68              3727            43                 0.63235             0.01154             300
CLN3-561nm_416_bidi_021.tif  BNI1         CLN3         68              3727            43                 0.63235             0.01154             300
BNI1-640nm_416_bidi_022.tif  BNI1         CLN3         87              3915            51                 0.58621             0.01303             300
CLN3-561nm_416_bidi_022.tif  BNI1         CLN3         87              3915            51                 0.58621             0.01303             300
BNI1-640nm_416_bidi_023.tif  BNI1         CLN3         441             551             34                 0.07710             0.06171             300
CLN3-561nm_416_bidi_023.tif  BNI1         CLN3         441             551             34                 0.07710             0.06171             300
BNI1-640nm_416_bidi_024.tif  BNI1         CLN3         90              81              19                 0.21111             0.23457             300
CLN3-561nm_416_bidi_024.tif  BNI1         CLN3         90              81              19                 0.21111             0.23457             300
BNI1-640nm_416_bidi_025.tif  BNI1         CLN3         1284            1990            217                0.16900             0.10905             300
CLN3-561nm_416_bidi_025.tif  BNI1         CLN3         1284            1990            217                0.16900             0.10905             300
BNI1-640nm_416_ctrl_001.tif  BNI1         CLN3         1098            1145            31                 0.02823             0.02707             300
CLN3-561nm_416_ctrl_001.tif  BNI1         CLN3         1098            1145            31                 0.02823             0.02707             300
BNI1-640nm_416_ctrl_002.tif  BNI1         CLN3         149             945             22                 0.14765             0.02328             300
CLN3-561nm_416_ctrl_002.tif  BNI1         CLN3         149             945             22                 0.14765             0.02328             300
BNI1-640nm_416_ctrl_003.tif  BNI1         CLN3         409             1499            46                 0.11247             0.03069             300
CLN3-561nm_416_ctrl_003.tif  BNI1         CLN3         409             1499            46                 0.11247             0.03069             300
BNI1-640nm_416_ctrl_004.tif  BNI1         CLN3         300             1900            51                 0.17000             0.02684             300
CLN3-561nm_416_ctrl_004.tif  BNI1         CLN3         300             1900            51                 0.17000             0.02684             300
BNI1-640nm_416_ctrl_005.tif  BNI1         CLN3         589             1445            52                 0.08829             0.03599             300
CLN3-561nm_416_ctrl_005.tif  BNI1         CLN3         589             1445            52                 0.08829             0.03599             300
BNI1-640nm_416_ctrl_006.tif  BNI1         CLN3         179             2294            38                 0.21229             0.01656             300
CLN3-561nm_416_ctrl_006.tif  BNI1         CLN3         179             2294            38                 0.21229             0.01656             300
BNI1-640nm_416_ctrl_007.tif  BNI1         CLN3         200             1520            20                 0.10000             0.01316             300
CLN3-561nm_416_ctrl_007.tif  BNI1         CLN3         200             1520            20                 0.10000             0.01316             300
BNI1-640nm_416_ctrl_008.tif  BNI1         CLN3         249             2022            27                 0.10843             0.01335             300
CLN3-561nm_416_ctrl_008.tif  BNI1         CLN3         249             2022            27                 0.10843             0.01335             300
