# Filename: BNI1-640nm_416_bidi_003.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
339   521
464   1790
915   703
916   584
923   567
924   696
925   681
926   737
928   564
928   649
928   693
930   1242
931   679
933   729
935   709
936   614
936   671
937   602
939   572
939   1241
940   627
940   1257
941   740
945   730
947   736
951   568
952   701
952   1260
955   597
957   687
958   592
958   717
958   1257
959   648
961   531
961   726
963   696
963   749
964   1258
966   774
966   1280
967   571
967   578
967   645
968   530
968   718
971   713
971   777
972   1278
975   703
975   766
977   569
978   546
978   663
980   542
981   1271
983   606
983   626
985   553
985   634
985   657
985   1280
986   1289
987   563
987   590
989   586
991   692
991   1277
992   553
996   722
997   543
997   703
998   629
999   526
999   752
1002  569
1002  623
1002  633
1002  715
1002  772
1003  759
1005  640
1006  557
1006  776
1007  562
1007  635
1007  675
1008  530
1008  603
1009  595
1009  670
1009  681
1011  555
1011  608
1013  787
1015  557
1015  778
1016  718
1017  570
1018  668
1018  684
1018  689
1018  1326
1019  765
1020  550
1020  662
1020  722
1021  1309
1022  775
1022  780
1023  751
1024  560
1026  554
1026  694
1028  548
1029  567
1029  675
1031  660
1031  768
1032  681
1033  750
1033  762
1035  677
1036  572
1036  1321
1037  744
1038  1308
1038  1332
1039  683
1040  661
1040  692
1041  757
1042  575
1042  1311
1043  733
1044  675
1045  632
1046  680
1047  661
1049  1337
1050  570
1050  684
1051  627
1051  663
1055  1315
1058  571
1058  621
1060  568
1060  740
1061  757
1062  659
1065  637
1065  744
1066  687
1066  737
1068  567
1068  611
1068  1320
1070  646
1073  661
1073  678
1073  1304
1074  686
1075  644
1075  690
1077  741
1078  671
1079  685
1080  746
1081  567
1081  1324
1084  762
1085  665
1088  636
1089  662
1091  726
1091  930
1092  672
1093  658
1094  938
1095  585
1096  692
1096  757
1097  933
1098  681
1099  1329
1100  576
1101  587
1102  1338
1104  570
1104  652
1106  626
1106  686
1106  856
1107  563
1107  735
1109  652
1109  659
1109  667
1109  678
1109  744
1109  845
1110  617
1112  691
1113  716
1114  600
1114  660
1114  758
1114  858
1114  1339
1116  615
1117  555
1117  607
1117  671
1117  1299
1118  676
1119  741
1121  845
1122  684
1122  699
1122  827
1123  588
1123  713
