# Filename: BNI1-640nm_416_bidi_007.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
295   1096  3             0
300   96    2             1
368   1196  2             2
442   1334  2             3
522   1155  3             4
531   1230  2             5
545   1291  2             6
804   1309  2             7
1020  789   2             8
1128  666   6             9
1149  619   2             10
1170  583   3             11
1202  702   2             12
1220  584   2             13
1284  728   3             14
1826  1590  2             15
2009  1482  2             16
