# Filename: BNI1-640nm_416_bidi_025.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
222   237   -1
483   941   -1
489   972   -1
494   959   -1
498   867   -1
502   943   -1
503   917   -1
506   980   -1
506   1002  -1
507   945   -1
507   966   -1
507   990   -1
510   921   -1
510   971   -1
510   980   -1
513   993   -1
515   957   -1
516   976   -1
518   852   -1
518   1005  -1
521   999   -1
523   876   -1
527   925   -1
531   901   -1
531   941   -1
533   979   -1
535   998   -1
536   922   -1
537   883   -1
538   988   -1
538   993   -1
539   954   -1
540   957   -1
541   839   -1
542   1002  -1
543   937   -1
543   967   -1
545   837   -1
546   967   -1
547   832   -1
547   1005  -1
549   989   -1
549   1000  -1
550   890   -1
553   841   -1
563   918   -1
566   883   -1
567   851   -1
571   807   -1
571   868   -1
571   900   -1
572   741   -1
572   939   -1
576   878   -1
579   941   -1
581   922   -1
583   802   -1
583   902   -1
584   860   -1
585   997   -1
585   1005  -1
586   892   -1
589   811   -1
589   943   -1
589   1037  -1
590   929   -1
592   958   -1
592   973   -1
592   997   -1
594   950   -1
596   987   -1
598   999   -1
600   890   -1
600   953   -1
600   988   -1
601   784   -1
602   865   -1
602   916   -1
609   759   -1
610   959   -1
610   966   -1
613   975   -1
613   983   -1
616   913   -1
618   996   -1
619   938   -1
620   945   -1
620   973   -1
621   925   -1
624   956   -1
625   984   -1
626   941   -1
627   947   -1
628   925   -1
631   962   -1
631   982   -1
634   1075  -1
635   863   -1
637   969   -1
639   930   -1
640   946   -1
640   960   -1
641   877   -1
641   976   -1
642   921   -1
644   942   -1
648   936   -1
653   879   -1
653   926   -1
655   869   -1
655   945   -1
658   952   -1
658   970   -1
658   1022  -1
660   857   -1
662   968   -1
664   944   -1
665   960   -1
666   971   -1
667   928   -1
667   979   -1
667   1031  -1
669   900   -1
670   934   -1
672   872   -1
673   916   -1
673   945   -1
676   863   -1
679   987   -1
680   966   -1
681   911   -1
681   940   -1
683   970   -1
685   769   -1
687   759   -1
688   969   -1
689   902   -1
690   918   -1
690   1032  -1
691   963   -1
694   764   -1
694   851   -1
696   888   -1
698   1161  -1
699   865   -1
700   1006  -1
701   931   -1
701   981   -1
703   950   -1
706   886   -1
706   967   -1
707   920   -1
708   848   -1
708   930   -1
708   978   -1
709   1080  -1
711   1003  -1
712   910   -1
713   938   -1
714   860   -1
714   1074  -1
715   825   -1
716   831   -1
716   898   -1
717   1002  -1
718   918   -1
718   959   -1
720   1149  -1
721   936   -1
723   893   -1
723   1054  -1
723   1127  -1
724   798   -1
725   957   -1
725   965   -1
725   1110  -1
727   756   -1
729   740   -1
729   965   -1
729   982   -1
729   1001  -1
729   1020  -1
731   1005  -1
732   998   -1
733   920   -1
735   939   -1
737   976   -1
737   1020  -1
739   893   -1
740   1034  -1
741   769   -1
741   950   -1
742   922   -1
742   982   -1
744   813   -1
744   946   -1
746   806   -1
746   1026  -1
748   939   -1
748   1040  -1
749   767   -1
749   931   -1
750   753   -1
750   784   -1
750   1016  -1
752   933   -1
752   1008  -1
754   778   -1
755   1034  -1
756   784   -1
758   952   -1
760   811   -1
761   914   -1
761   939   -1
761   1491  -1
763   743   -1
765   883   -1
767   903   -1
769   842   -1
770   935   -1
770   960   -1
772   731   -1
773   878   -1
774   1004  -1
775   833   -1
775   1043  -1
778   1066  -1
780   705   -1
781   776   -1
781   941   -1
782   921   -1
784   905   -1
784   926   -1
784   931   -1
785   1037  -1
786   705   -1
788   987   -1
789   875   -1
789   925   -1
793   1012  -1
793   1020  -1
795   975   -1
796   939   -1
797   929   -1
798   1000  -1
799   1010  -1
799   1036  -1
800   828   -1
805   713   -1
805   872   -1
805   1021  -1
807   885   -1
807   982   -1
809   880   -1
810   957   -1
812   867   -1
812   948   -1
818   831   -1
818   949   -1
824   871   -1
825   1003  -1
826   940   -1
826   1075  -1
827   983   -1
829   667   -1
829   678   -1
830   1016  -1
830   1026  -1
834   1014  -1
835   1077  -1
838   961   -1
838   970   -1
840   1018  -1
842   676   -1
843   939   -1
843   974   -1
844   874   -1
846   901   -1
847   798   -1
848   1047  -1
853   893   -1
854   864   -1
854   918   -1
857   851   -1
858   932   -1
859   922   -1
859   1000  -1
859   1024  -1
860   831   -1
861   883   -1
864   983   -1
867   722   -1
869   1033  -1
869   1047  -1
870   924   -1
870   938   -1
872   708   -1
872   947   -1
873   917   -1
875   783   -1
876   769   -1
876   803   -1
877   961   -1
878   1003  -1
879   903   -1
879   916   -1
882   894   -1
882   944   -1
882   967   -1
883   976   -1
884   1029  -1
885   724   -1
885   806   -1
887   793   -1
887   912   -1
890   735   -1
890   1055  -1
893   822   -1
893   933   -1
895   746   -1
897   733   -1
897   865   -1
898   906   -1
902   833   -1
905   866   -1
905   1144  -1
906   804   -1
909   1021  -1
910   778   -1
910   853   -1
910   967   -1
910   986   -1
912   862   -1
911   1958  -1
914   969   -1
918   912   -1
919   972   -1
919   991   -1
920   740   -1
920   834   -1
921   998   -1
924   829   -1
924   886   -1
924   933   -1
929   834   -1
931   804   -1
931   1038  -1
932   789   -1
934   896   -1
936   858   -1
939   929   -1
940   782   -1
940   804   -1
943   773   -1
943   799   -1
943   903   -1
944   927   -1
947   1034  -1
951   896   -1
951   992   -1
955   840   -1
955   854   -1
956   936   -1
958   847   -1
961   953   -1
964   863   -1
965   968   -1
966   887   -1
970   881   -1
971   984   -1
972   973   -1
977   869   -1
980   766   -1
981   785   -1
981   789   -1
983   840   -1
984   817   -1
985   895   -1
985   934   -1
986   870   -1
986   903   -1
986   912   -1
987   984   -1
990   973   -1
991   851   -1
991   866   -1
991   1007  -1
992   855   -1
995   836   -1
996   1050  -1
997   789   -1
998   757   -1
998   849   -1
999   822   -1
1000  781   -1
1001  765   -1
1001  811   -1
1002  953   -1
1003  752   -1
1004  825   -1
1005  947   -1
1005  954   -1
1005  981   -1
