# Filename: BNI1-640nm_416_ctrl_008.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
25    1291
224   856
261   1759
311   846
314   1332
355   1291
415   1651
439   393
454   450
503   1274
511   418
554   937
574   452
578   812
579   1272
584   1763
594   1286
594   1293
621   785
622   1732
635   774
636   801
643   739
643   1277
654   654
658   714
659   721
664   753
666   742
671   775
671   1051
695   255
705   609
707   1236
709   616
717   606
717   802
721   610
734   774
740   1271
758   1838
770   1629
771   1804
775   1441
783   1532
790   1258
792   557
797   1278
807   1353
811   370
812   562
838   584
842   884
860   1436
865   1248
866   1293
868   1146
869   1370
871   1395
888   1124
892   1305
895   325
899   446
901   1361
907   1235
908   323
909   137
911   1207
912   1173
913   1281
918   971
923   1220
924   580
926   576
929   1271
930   1484
933   951
933   1325
940   981
951   692
951   1155
952   1167
954   1237
957   1095
963   693
966   1530
967   1244
968   173
971   1568
974   1207
974   1235
978   425
980   1062
989   1550
990   710
992   586
993   892
994   883
996   584
997   532
1003  1648
1004  541
1005  1192
1006  210
1006  1529
1007  1547
1008  898
1008  906
1012  1357
1013  1006
1013  1449
1019  1579
1020  996
1026  1008
1033  1082
1033  1342
1035  581
1036  1471
1037  573
1037  1012
1038  994
1039  1373
1039  1701
1040  1216
1040  1420
1041  1379
1041  1387
1043  755
1046  1183
1052  1483
1053  1286
1056  1101
1064  1551
1065  1266
1069  1368
1076  1458
1079  1486
1083  1626
1084  1165
1085  1303
1097  1298
1097  1450
1098  1423
1102  1484
1104  788
1104  1331
1110  1400
1117  1091
1119  1332
1119  1346
1120  1276
1122  1057
1133  1304
1138  1654
1142  1105
1158  920
1159  1635
1160  1767
1161  978
1161  1407
1162  256
1164  1307
1167  1054
1169  1108
1171  1281
1175  1083
1188  1044
1192  1270
1202  1392
1210  8
1215  1281
1216  1000
1217  1217
1227  1215
1228  1385
1234  1024
1236  1387
1236  1394
1238  1089
1238  1404
1239  1269
1244  1385
1251  1068
1254  1200
1260  1262
1261  1106
1270  1611
1271  1361
1275  1410
1278  1621
1279  1403
1281  1160
1288  1317
1291  325
1292  1198
1304  1141
1308  1124
1311  1560
1313  1373
1314  1259
1315  1225
1319  1403
1320  1177
1326  645
1326  1152
1336  1430
1337  287
1338  1368
1347  1378
1353  1229
1355  1421
1356  284
1357  1392
1365  1002
1379  1359
1382  959
1385  1249
1393  204
1406  1420
1415  1376
1422  628
1422  1171
1432  1079
1435  1357
1439  1230
1455  1364
1456  1172
1461  1440
1465  1287
1469  1271
1475  1386
1480  1381
1493  1024
1496  553
1502  1321
1502  1408
1510  1367
1514  762
1520  1427
1523  233
1542  318
1655  1148
1671  1092
1700  452
1754  595
1760  409
1795  1145
1810  719
2032  989
