# Filename: BNI1-640nm_416_ctrl_009.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
499   1042  2             0
574   554   2             1
435   833   2             2
540   790   2             3
601   975   2             4
642   797   2             5
714   1110  2             6
752   1289  2             7
763   705   2             8
822   1300  3             9
891   767   2             10
916   918   5             11
955   681   2             12
1082  1467  2             13
1084  1796  4             14
1112  1764  2             15
1204  1117  2             16
1248  1344  2             17
1250  192   2             18
1249  195   2             19
1279  103   3             20
1314  1144  2             21
1320  255   2             22
1442  890   2             23
1451  1228  2             24
1662  1609  2             25
1689  366   2             26
