# Filename: BNI1-640nm_416_ctrl_010.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
348   212   -1
352   1316  -1
406   992   -1
413   1821  -1
417   1007  -1
423   721   -1
434   1214  -1
439   804   -1
457   830   -1
477   1644  -1
480   788   -1
483   640   -1
514   1872  -1
544   1012  -1
545   1125  -1
552   1482  -1
555   803   -1
572   645   -1
572   811   -1
604   1757  -1
615   635   -1
625   1863  -1
630   765   -1
639   1070  -1
660   744   -1
668   1081  -1
683   964   -1
686   797   -1
697   366   -1
698   1340  -1
703   1422  -1
714   972   -1
720   544   -1
734   881   -1
737   1243  -1
742   1232  -1
755   813   -1
778   1923  -1
783   514   -1
788   1597  -1
791   1770  -1
811   826   -1
812   1306  -1
815   284   -1
816   1309  -1
817   1300  -1
824   1115  -1
829   535   -1
837   557   -1
844   1272  -1
845   1332  -1
852   853   -1
852   1416  -1
854   1899  -1
856   795   -1
871   768   -1
878   562   -1
879   770   -1
881   736   -1
886   780   -1
891   1956  -1
895   962   -1
895   998   -1
896   1320  -1
909   582   -1
909   1244  -1
910   1894  -1
915   793   -1
917   700   -1
920   1779  -1
923   1276  -1
931   1205  -1
932   1162  -1
935   1292  -1
951   859   -1
952   918   -1
958   1121  -1
960   1003  -1
961   1161  -1
964   703   -1
965   692   -1
971   229   -1
987   795   -1
987   904   -1
996   831   -1
997   667   -1
997   1804  -1
1003  1097  -1
1009  242   -1
1018  1396  -1
1020  915   -1
1023  1144  -1
1033  1666  -1
1040  825   -1
1042  767   -1
1044  1123  -1
1045  1164  -1
1051  894   -1
1055  1183  -1
1061  241   -1
1062  822   -1
1062  1026  -1
1062  1061  -1
1065  545   -1
1065  787   -1
1068  868   -1
1070  859   -1
1081  602   -1
1082  900   -1
1083  1092  -1
1085  841   -1
1095  1227  -1
1097  911   -1
1097  1895  -1
1104  828   -1
1117  906   -1
1117  911   -1
1124  892   -1
1126  1098  -1
1128  1128  -1
1131  763   -1
1131  860   -1
1132  1199  -1
1133  1212  -1
1135  892   -1
1137  885   -1
1142  869   -1
1143  1512  -1
1155  1206  -1
1155  1370  -1
1156  633   -1
1170  1250  -1
1186  1228  -1
1193  915   -1
1197  648   -1
1198  1147  -1
1200  1195  -1
1202  108   -1
1204  1079  -1
1204  1185  -1
1206  1626  -1
1229  1111  -1
1230  1246  -1
1230  1269  -1
1243  1741  -1
1256  1248  -1
1272  1064  -1
1272  1223  -1
1278  1794  -1
1281  1237  -1
1282  598   -1
1292  1623  -1
1318  636   -1
1321  106   -1
1323  623   -1
1342  1230  -1
1350  585   -1
1358  1920  -1
1374  1296  -1
1379  1313  -1
1382  619   -1
1384  637   -1
1384  857   -1
1387  626   -1
1389  742   -1
1403  745   -1
1407  323   -1
1410  1234  -1
1411  1091  -1
1421  1209  -1
1470  1943  -1
1486  862   -1
1488  1935  -1
1502  846   -1
1516  815   -1
1520  800   -1
1542  1944  -1
1548  682   -1
1565  1220  -1
1584  637   -1
1597  581   -1
1599  577   -1
1616  1193  -1
1624  1475  -1
1629  1210  -1
1643  1725  -1
1644  1353  -1
1651  1503  -1
1655  442   -1
1666  1265  -1
1713  1008  -1
1720  1177  -1
1773  1012  -1
1816  1595  -1
1833  1651  -1
1854  1099  -1
1901  1095  -1
1910  1606  -1
1945  1393  -1
81    167   -1
375   1299  -1
383   1759  -1
386   1758  -1
510   907   -1
525   798   -1
519   795   -1
519   798   -1
579   2014  -1
578   2011  -1
579   649   -1
583   1044  -1
595   1088  -1
595   842   -1
611   527   -1
635   759   -1
649   829   -1
653   1084  -1
708   1176  -1
711   1175  -1
710   1337  -1
727   1303  -1
748   905   -1
753   845   -1
760   112   -1
785   1274  -1
788   780   -1
799   1766  -1
811   712   -1
820   921   -1
822   923   -1
832   132   -1
834   824   -1
847   2000  -1
854   353   -1
864   719   -1
875   948   -1
893   1176  -1
901   868   -1
903   761   -1
905   1244  -1
908   686   -1
906   689   -1
908   828   -1
914   1249  -1
911   1250  -1
920   814   -1
925   689   -1
928   781   -1
930   1884  -1
937   914   -1
940   726   -1
974   1781  -1
991   677   -1
993   1818  -1
998   899   -1
1000  896   -1
1000  1129  -1
1003  1129  -1
1001  1823  -1
1032  737   -1
1034  758   -1
1037  82    -1
1055  821   -1
1050  821   -1
1050  824   -1
1056  824   -1
1053  824   -1
1049  1172  -1
1051  1310  -1
1055  1551  -1
1068  920   -1
1076  2000  -1
1077  1322  -1
1089  992   -1
1101  223   -1
1120  1188  -1
1124  1293  -1
1126  706   -1
1128  880   -1
1133  964   -1
1135  821   -1
1147  1304  -1
1150  1303  -1
1158  1274  -1
1162  1004  -1
1177  1130  -1
1181  1476  -1
1187  1097  -1
1189  1060  -1
1210  1366  -1
1218  577   -1
1222  626   -1
1226  520   -1
1238  1098  -1
1248  1206  -1
1270  587   -1
1277  1212  -1
1274  1211  -1
1285  1961  -1
1304  698   -1
1310  550   -1
1332  351   -1
1337  1139  -1
1402  2042  -1
1424  623   -1
1425  626   -1
1434  745   -1
1449  614   -1
1472  880   -1
1496  782   -1
1509  352   -1
1563  1093  -1
1585  619   -1
1611  691   -1
1629  1640  -1
1632  1640  -1
1654  1265  -1
1678  1075  -1
1685  450   -1
1689  1528  -1
1694  139   -1
1726  1191  -1
1726  1187  -1
1743  1253  -1
1745  1255  -1
1751  1615  -1
1771  1510  -1
1797  1248  -1
1822  1622  -1
1836  1107  -1
1838  1633  -1
1853  1031  -1
1980  518   -1
959   1145  0
959   1146  0
273   859   1
271   858   1
337   182   2
335   181   2
339   183   2
523   796   3
522   795   3
531   1938  4
533   1938  4
529   1939  4
532   1936  4
574   2013  5
575   2015  5
582   650   6
582   652   6
607   524   7
609   525   7
607   524   7
611   524   7
605   525   7
605   523   7
612   524   7
608   526   7
648   832   8
650   832   8
644   831   9
642   832   9
656   1084  10
658   1084  10
702   878   11
700   879   11
707   773   12
706   772   12
715   415   13
717   416   13
714   417   13
771   1748  14
773   1748  14
769   1748  14
779   916   15
777   915   15
780   915   15
801   1764  16
802   1762  16
799   1763  16
803   1764  16
811   541   17
810   540   17
811   541   17
809   539   17
856   756   18
858   756   18
855   755   18
891   911   19
891   911   19
891   911   19
891   906   20
891   906   20
912   828   21
913   828   21
912   1193  22
913   1192  22
913   1357  23
915   1358  23
917   762   24
919   760   24
915   762   24
918   758   24
922   760   24
914   762   24
917   760   24
915   764   24
921   759   24
988   589   25
986   589   25
995   897   26
995   895   26
999   854   27
1001  855   27
1001  1813  28
1001  1813  28
1001  918   29
1002  918   29
1037  1149  30
1035  1149  30
1041  1943  31
1039  1943  31
1096  241   32
1098  241   32
1109  1206  33
1109  1206  33
1123  1863  34
1122  1864  34
1132  883   35
1132  883   35
1137  819   36
1137  819   36
1139  1720  37
1139  1720  37
1147  56    38
1146  58    38
1164  855   39
1163  854   39
1179  1109  40
1179  1109  40
1190  1097  41
1192  1095  41
1192  1097  41
1216  580   42
1218  580   42
1215  582   42
1227  636   43
1227  637   43
1253  648   44
1255  648   44
1252  649   44
1255  650   44
1251  648   44
1276  1343  45
1274  1343  45
1278  1343  45
1511  350   46
1513  349   46
1516  828   47
1516  829   47
1516  828   47
1586  616   48
1586  616   48
1587  615   48
1586  616   48
1596  588   49
1595  589   49
1623  1274  50
1624  1275  50
1622  1275  50
1625  1273  50
1696  547   51
1694  546   51
1698  546   51
1699  580   52
1700  579   52
