# Filename: CLN3-561nm_416_bidi_012.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
0     605
0     609
0     616
0     628
5     610
6     620
9     612
10    621
14    620
19    623
23    615
24    623
28    617
186   838
197   835
204   832
252   758
254   768
254   789
257   772
260   765
264   768
268   776
269   772
273   1080
277   1074
279   1065
281   1082
285   740
286   1086
287   1094
292   1079
294   1066
298   1077
304   1089
305   1058
305   1075
306   1085
307   732
311   717
313   730
313   1046
314   1084
315   42
315   1074
317   723
320   42
320   732
321   1060
322   50
322   736
322   1056
322   1074
324   708
328   703
332   1057
341   36
342   27
344   1054
347   710
348   1048
351   45
352   22
354   705
355   1052
357   46
358   37
358   1052
367   20
367   37
368   50
369   45
370   702
376   45
377   16
379   33
381   681
381   1004
383   693
385   704
387   676
389   710
391   706
392   686
394   1014
394   1024
395   698
396   684
399   30
400   1024
404   28
408   1018
409   31
411   13
411   692
412   22
412   686
414   680
417   669
420   673
420   1008
422   31
423   676
423   692
423   1261
424   39
425   46
427   28
430   33
431   990
431   1006
432   49
435   683
436   34
438   998
440   679
441   50
442   30
444   652
445   43
447   37
449   1000
450   41
453   993
455   653
459   661
463   593
465   573
467   599
469   594
469   649
471   515
471   571
473   585
473   590
473   669
474   643
475   569
475   580
476   492
476   525
476   614
476   656
476   970
479   617
480   495
482   571
482   603
484   559
485   489
486   556
487   604
488   494
488   520
488   597
488   653
488   925
488   968
489   525
490   499
490   537
491   552
491   947
493   504
493   543
495   656
496   643
497   633
497   648
497   948
498   499
499   598
500   561
500   584
503   661
505   652
506   523
507   485
509   628
510   638
512   645
513   418
513   454
513   918
515   928
516   472
516   946
518   460
520   890
521   421
521   630
521   643
522   440
526   912
527   625
527   633
528   642
529   622
532   898
533   409
533   447
537   880
542   879
543   444
545   904
547   617
551   620
556   642
557   416
557   524
560   525
562   606
562   614
565   410
566   636
567   612
567   617
568   622
568   632
572   612
572   634
576   625
577   602
580   411
580   500
580   609
580   622
581   617
582   523
583   850
584   602
584   622
585   631
586   610
587   488
587   605
588   501
589   627
589   844
591   618
591   848
593   380
595   839
596   621
599   486
601   500
601   602
601   619
603   854
605   597
605   623
607   828
609   606
610   379
611   599
615   617
616   611
617   622
621   379
621   495
622   0
622   604
625   468
625   473
626   600
626   618
627   301
627   597
627   835
629   616
629   822
632   448
633   346
634   609
634   805
638   452
640   475
643   603
644   466
648   449
653   302
654   611
654   817
655   459
655   605
656   628
656   806
658   618
659   442
660   267
661   613
661   800
662   607
665   442
665   613
667   435
667   625
667   811
669   614
670   630
672   416
673   424
673   611
674   598
677   430
677   596
677   624
677   631
677   665
679   418
679   679
680   662
681   439
681   604
681   656
682   599
682   610
682   652
683   686
684   420
685   424
685   629
685   682
686   433
686   662
686   674
687   622
687   652
687   678
688   626
688   689
689   649
689   660
690   612
690   664
690   668
692   585
692   605
692   616
692   678
692   690
692   698
693   422
694   443
694   666
694   796
695   658
696   581
696   619
696   684
697   415
697   419
697   433
697   670
697   676
697   697
698   556
698   627
698   662
698   701
699   607
699   651
700   574
700   667
701   634
702   426
702   620
702   696
702   705
702   783
702   788
703   430
703   563
703   677
703   710
704   603
704   655
704   793
705   570
705   663
705   687
706   419
706   701
707   556
707   599
708   580
708   586
708   615
709   564
709   651
709   666
709   693
710   533
710   595
710   621
710   633
710   646
710   672
710   678
710   787
711   525
711   607
711   754
712   661
712   700
713   543
713   550
713   572
713   694
713   733
713   764
714   431
714   537
714   599
714   611
714   703
714   1186
715   641
715   673
715   690
716   617
716   661
716   776
717   438
717   668
717   708
718   428
718   531
718   677
718   684
718   700
718   729
719   422
719   545
719   603
719   735
719   751
719   1181
720   628
720   647
720   651
720   1189
721   711
721   742
721   765
722   433
722   675
722   778
723   641
723   678
723   682
723   689
723   696
724   505
724   667
724   774
725   497
725   520
725   528
725   562
725   607
725   646
725   660
725   700
725   791
726   223
726   510
726   534
726   552
726   617
726   691
726   787
726   1184
727   637
727   713
728   516
728   621
728   653
728   675
728   687
728   765
728   1177
730   430
730   524
730   612
731   421
731   696
731   753
732   425
732   504
732   624
732   659
732   705
732   744
733   531
733   630
733   1178
734   438
734   677
735   492
735   519
735   538
735   651
735   767
735   772
736   429
736   682
736   698
736   732
736   748
737   622
737   629
737   693
738   292
738   448
738   673
739   609
739   782
740   501
740   507
740   637
741   286
741   487
741   514
741   524
741   627
741   737
742   759
742   789
743   319
743   497
743   621
743   752
744   150
744   415
744   444
744   636
744   778
745   521
745   533
745   632
745   1177
746   431
746   504
747   660
747   455
747   462
747   549
747   765
748   441
748   451
748   485
748   510
748   628
748   631
748   773
749   445
749   677
749   727
749   742
749   1164
750   625
750   737
751   687
752   440
752   580
752   588
752   1413
753   501
753   681
754   539
754   552
754   569
754   615
755   422
755   450
755   548
755   566
755   759
755   1163
756   491
756   610
756   1160
757   463
757   477
757   1418
757   1435
758   287
758   545
758   559
758   770
759   472
759   540
759   1170
759   1400
760   431
760   441
760   570
760   665
760   1437
760   1442
761   577
761   597
761   632
761   722
761   1168
761   1405
762   435
762   502
762   558
762   615
762   678
762   747
762   1409
762   1432
763   426
763   472
763   489
763   527
763   742
763   756
763   777
763   1426
764   448
764   579
764   1161
764   1170
764   1398
764   1414
764   1451
765   542
765   549
765   1439
766   584
766   629
766   659
766   748
767   327
767   357
767   490
767   569
767   764
767   1390
767   1421
768   460
768   580
768   742
769   573
769   637
769   681
769   1448
770   592
770   770
770   777
770   1399
770   1416
771   451
771   757
771   1403
771   1409
771   1440
772   487
772   735
772   1434
773   459
773   554
773   613
773   1165
774   347
774   626
774   754
774   1389
774   1397
774   1425
774   1449
775   336
775   365
775   471
775   476
775   594
775   636
775   663
775   724
775   743
776   327
776   1365
776   1384
776   1418
776   1461
776   1467
777   355
777   541
777   1149
777   1414
777   1457
778   630
778   1369
778   1410
778   1430
