# Filename: CLN3-561nm_416_bidi_013.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
219   924   4             0
241   822   2             1
297   956   2             2
309   1019  2             3
475   1201  2             4
505   1104  2             5
631   1174  2             6
653   1161  2             7
659   1046  2             8
685   988   2             9
744   1155  2             10
747   1004  3             11
757   1069  2             12
760   1127  2             13
763   1037  2             14
780   1138  2             15
786   1181  2             16
846   1166  2             17
852   1001  2             18
857   900   2             19
862   1025  2             20
890   1112  2             21
891   1140  2             22
893   1073  2             23
900   296   2             24
905   1163  2             25
914   1065  2             26
925   1012  2             27
925   876   2             28
958   1170  2             29
961   1151  2             30
965   887   2             31
968   990   3             32
1001  1023  2             33
1004  1029  2             34
1020  1027  3             35
1031  831   2             36
1032  940   2             37
1033  1059  2             38
1044  924   2             39
1044  1040  2             40
1079  806   2             41
1093  951   2             42
1093  924   2             43
1109  817   2             44
1115  932   2             45
1119  1110  2             46
1141  1132  2             47
1198  882   2             48
1213  1167  2             49
1213  1138  2             50
1231  1166  2             51
1412  1166  2             52
1421  1130  2             53
1425  1136  2             54
1438  1162  2             55
1439  1152  2             56
1440  1137  2             57
168   823   2             58
184   894   13            59
207   734   3             60
205   907   2             61
209   910   2             62
219   903   2             63
223   811   2             64
231   817   2             65
239   869   4             66
251   827   2             67
271   909   2             68
273   899   3             69
277   928   2             70
282   930   2             71
288   949   2             72
295   911   2             73
294   991   2             74
298   922   2             75
304   968   7             76
317   1021  18            77
312   951   2             78
326   981   2             79
331   1050  2             80
335   1033  6             81
467   1169  4             82
466   1152  2             83
472   1297  2             84
475   1299  2             85
472   1139  2             86
473   1263  2             87
476   1291  2             88
486   1152  2             89
488   1187  2             90
491   1208  41            91
486   1229  2             92
489   1083  2             93
491   1135  2             94
499   1231  3             95
498   1129  2             96
510   1107  9             97
511   1209  3             98
517   1206  2             99
524   1222  3             100
525   1055  2             101
527   1210  2             102
531   1206  2             103
533   1234  2             104
538   1237  3             105
539   1082  2             106
549   1213  3             107
553   1037  2             108
554   1070  2             109
557   1238  2             110
575   1229  3             111
579   1210  8             112
581   1194  5             113
583   1026  2             114
587   1229  2             115
605   1222  2             116
612   1184  3             117
615   1206  2             118
616   1221  2             119
617   1052  2             120
618   991   4             121
621   1213  2             122
626   1194  10            123
627   1184  7             124
628   1022  2             125
634   1211  2             126
634   994   2             127
636   1027  2             128
640   1167  2             129
648   985   2             130
647   1046  2             131
651   1197  5             132
654   1195  5             133
654   974   2             134
657   1162  2             135
660   1053  2             136
665   1161  3             137
663   989   2             138
668   974   6             139
671   969   2             140
666   971   2             141
670   1012  4             142
676   1193  4             143
673   1189  2             144
676   1166  2             145
678   1052  2             146
681   1017  3             147
682   1063  2             148
684   1174  3             149
686   1060  2             150
686   1195  2             151
690   1154  2             152
692   1049  2             153
693   1013  3             154
693   1161  2             155
697   1188  4             156
699   1025  2             157
709   972   16            158
707   975   2             159
706   996   2             160
706   1072  2             161
706   1077  2             162
708   1007  2             163
708   1195  3             164
709   1082  2             165
715   1160  2             166
715   1190  2             167
717   1021  3             168
721   1023  2             169
719   1185  2             170
721   1091  4             171
721   1169  2             172
722   1194  3             173
722   1229  2             174
722   1081  2             175
729   1009  2             176
724   1011  2             177
734   1006  2             178
727   1082  2             179
727   1158  2             180
728   1267  2             181
731   978   3             182
731   1228  2             183
736   1150  3             184
735   1179  2             185
738   1100  2             186
736   1112  2             187
738   1166  2             188
741   1200  2             189
743   1003  2             190
744   1160  2             191
745   1172  2             192
746   1057  2             193
747   1265  2             194
750   1239  2             195
751   1063  2             196
754   1066  2             197
756   1149  2             198
755   1164  2             199
757   1117  3             200
761   1027  2             201
762   1047  2             202
767   1064  5             203
768   1194  3             204
772   1197  3             205
766   1138  2             206
767   965   2             207
768   969   2             208
768   981   2             209
771   1012  3             210
774   989   2             211
774   924   2             212
775   959   2             213
776   948   2             214
778   1164  4             215
785   991   3             216
780   989   2             217
787   995   2             218
782   1003  6             219
781   1038  2             220
783   1050  2             221
785   1138  5             222
785   919   3             223
791   1010  3             224
787   1016  4             225
787   1089  4             226
786   1120  3             227
790   1191  2             228
792   1154  2             229
791   1185  2             230
794   924   2             231
794   1198  2             232
794   1138  2             233
796   1066  2             234
799   994   2             235
802   1197  3             236
801   915   2             237
805   909   2             238
803   1124  2             239
810   966   3             240
808   1197  2             241
810   946   2             242
813   1167  30            243
812   1202  3             244
816   922   2             245
816   1195  2             246
817   974   2             247
819   993   2             248
821   932   2             249
822   1035  3             250
828   968   42            251
827   1013  2             252
826   1163  2             253
828   1193  2             254
827   978   3             255
829   909   2             256
829   935   2             257
831   1203  2             258
833   913   4             259
833   946   2             260
834   957   2             261
834   993   2             262
844   900   2             263
842   904   3             264
847   908   2             265
838   937   4             266
838   950   4             267
840   912   2             268
841   1166  3             269
839   1193  2             270
848   1006  14            271
845   1001  2             272
842   1180  4             273
844   1030  2             274
845   1081  2             275
847   928   2             276
858   1194  2             277
851   1027  2             278
851   1044  2             279
852   1160  4             280
854   1038  2             281
858   926   3             282
861   919   3             283
862   718   2             284
861   915   2             285
866   1170  27            286
863   931   2             287
866   1033  2             288
870   928   2             289
872   926   2             290
873   1118  2             291
874   903   3             292
874   811   2             293
875   1136  3             294
875   1071  2             295
878   1197  4             296
881   1200  2             297
875   1198  2             298
877   734   2             299
879   916   2             300
876   915   2             301
878   822   2             302
879   1096  2             303
880   901   2             304
880   910   2             305
880   1161  2             306
881   1179  2             307
883   829   2             308
885   845   2             309
888   1136  2             310
886   1153  2             311
891   808   2             312
888   1092  2             313
892   1179  3             314
890   732   2             315
898   932   4             316
892   932   2             317
892   1107  2             318
892   1150  3             319
891   900   2             320
892   832   2             321
892   1100  2             322
893   1116  2             323
894   333   2             324
896   1125  2             325
899   859   2             326
897   822   2             327
897   888   2             328
899   1188  2             329
903   1069  4             330
903   1091  2             331
904   1147  3             332
909   880   6             333
905   928   3             334
905   938   2             335
904   1195  2             336
905   872   2             337
907   718   2             338
907   842   3             339
907   850   2             340
907   909   3             341
913   911   2             342
909   913   2             343
908   305   3             344
907   818   2             345
909   822   2             346
909   1070  2             347
913   990   2             348
917   992   3             349
914   998   4             350
915   1152  12            351
915   1145  3             352
918   1192  3             353
918   925   5             354
918   292   2             355
919   839   2             356
920   888   3             357
919   1140  2             358
922   859   2             359
924   1138  2             360
925   1172  19            361
924   941   2             362
924   983   2             363
926   1007  3             364
926   1119  2             365
927   720   2             366
927   1106  3             367
928   957   2             368
929   992   2             369
937   932   4             370
931   933   2             371
933   910   2             372
933   260   2             373
938   1146  3             374
937   965   3             375
938   980   2             376
939   1069  2             377
940   905   3             378
941   1083  2             379
940   1132  3             380
948   1165  3             381
941   1181  2             382
941   968   2             383
943   1162  2             384
945   726   2             385
944   1004  2             386
947   919   2             387
951   936   2             388
948   939   2             389
950   901   3             390
947   1144  2             391
950   963   4             392
950   741   2             393
953   1108  2             394
956   878   2             395
955   1132  2             396
957   741   2             397
957   904   3             398
957   992   2             399
958   1088  3             400
960   918   2             401
961   908   2             402
962   980   4             403
960   1017  2             404
960   1013  2             405
962   355   2             406
962   881   3             407
965   1125  19            408
964   1096  3             409
966   227   3             410
969   625   2             411
966   919   2             412
965   996   2             413
967   1108  4             414
972   1107  2             415
967   875   2             416
967   952   4             417
967   985   2             418
971   1154  7             419
969   1066  2             420
969   940   2             421
970   767   2             422
972   866   2             423
973   1116  2             424
974   1015  2             425
980   875   6             426
981   942   2             427
978   1003  2             428
978   1051  2             429
982   929   3             430
983   638   2             431
984   764   2             432
984   847   2             433
986   1054  7             434
985   747   2             435
986   862   2             436
987   1067  2             437
986   871   3             438
988   901   3             439
