# Filename: CLN3-561nm_416_ctrl_003.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
2     420   -1
5     1181  -1
7     1319  -1
10    1236  -1
11    384   -1
11    1333  -1
15    590   -1
18    1147  -1
19    1229  -1
23    373   -1
23    387   -1
23    442   -1
25    1254  -1
26    482   -1
26    572   -1
28    1238  -1
32    1708  -1
36    488   -1
36    1245  -1
39    1182  -1
43    495   -1
49    477   -1
50    1851  -1
53    1179  -1
54    1191  -1
59    425   -1
59    469   -1
68    461   -1
73    438   -1
73    1700  -1
78    475   -1
78    1801  -1
80    1726  -1
84    1714  -1
87    1940  -1
89    1996  -1
96    800   -1
97    1803  -1
98    1660  -1
99    1788  -1
102   1784  -1
104   1665  -1
113   774   -1
114   1669  -1
118   1725  -1
119   1712  -1
121   210   -1
125   1968  -1
129   777   -1
131   1771  -1
132   781   -1
135   1723  -1
141   1667  -1
145   581   -1
147   506   -1
152   607   -1
152   1687  -1
154   528   -1
154   588   -1
154   1767  -1
156   426   -1
158   189   -1
158   625   -1
160   523   -1
162   600   -1
163   508   -1
165   799   -1
165   807   -1
169   203   -1
171   353   -1
171   472   -1
172   638   -1
173   1783  -1
178   369   -1
179   1808  -1
179   1859  -1
180   241   -1
180   364   -1
180   1793  -1
187   344   -1
189   803   -1
192   836   -1
193   676   -1
196   1808  -1
202   1756  -1
203   1840  -1
207   1692  -1
210   1895  -1
211   243   -1
212   2037  -1
222   851   -1
223   1838  -1
223   1847  -1
224   1752  -1
226   1677  -1
228   1800  -1
228   1824  -1
233   1313  -1
233   1798  -1
234   1662  -1
234   1918  -1
235   1296  -1
235   1824  -1
235   1947  -1
237   1887  -1
239   302   -1
239   1678  -1
240   1841  -1
241   1658  -1
242   1293  -1
242   1734  -1
246   274   -1
246   1670  -1
247   1661  -1
248   1656  -1
250   1783  -1
251   1764  -1
253   1321  -1
254   437   -1
254   1726  -1
257   1762  -1
258   1907  -1
260   1938  -1
263   1795  -1
274   1735  -1
277   1337  -1
278   1755  -1
280   1336  -1
281   1914  -1
284   1870  -1
285   1905  -1
287   1763  -1
289   1887  -1
292   695   -1
299   1128  -1
301   1743  -1
302   409   -1
304   1999  -1
306   1891  -1
311   1918  -1
315   1998  -1
317   2016  -1
318   1921  -1
319   944   -1
332   1843  -1
332   1871  -1
332   2016  -1
334   327   -1
338   1770  -1
343   1809  -1
343   1831  -1
345   315   -1
350   427   -1
353   1853  -1
354   1818  -1
356   785   -1
356   1141  -1
356   1811  -1
356   2031  -1
359   875   -1
360   1827  -1
362   1843  -1
364   411   -1
369   1818  -1
371   1905  -1
372   1939  -1
376   2047  -1
377   775   -1
382   1900  -1
383   1823  -1
384   1833  -1
395   1807  -1
396   1148  -1
399   1929  -1
400   1862  -1
402   1806  -1
404   1835  -1
408   1866  -1
412   1870  -1
414   247   -1
417   414   -1
419   421   -1
421   1846  -1
422   257   -1
425   245   -1
425   1144  -1
426   1998  -1
428   821   -1
431   1878  -1
431   1970  -1
432   1985  -1
433   894   -1
436   251   -1
441   2006  -1
442   1861  -1
447   469   -1
450   664   -1
451   710   -1
452   654   -1
453   775   -1
455   1964  -1
456   908   -1
456   1612  -1
458   718   -1
459   628   -1
460   1975  -1
463   1932  -1
464   1957  -1
464   1970  -1
466   1287  -1
468   722   -1
470   728   -1
473   1131  -1
473   1594  -1
475   709   -1
478   658   -1
482   1956  -1
485   660   -1
485   704   -1
487   758   -1
489   678   -1
492   1633  -1
492   1953  -1
493   609   -1
493   1817  -1
495   1204  -1
498   1954  -1
501   698   -1
503   815   -1
509   1966  -1
512   1952  -1
512   1991  -1
514   1815  -1
515   612   -1
515   716   -1
515   1948  -1
517   1955  -1
517   1999  -1
518   1989  -1
521   1966  -1
522   90    -1
532   507   -1
534   639   -1
534   1989  -1
538   1721  -1
538   2047  -1
542   704   -1
542   1733  -1
544   65    -1
545   1727  -1
547   2000  -1
551   1818  -1
551   2036  -1
554   1718  -1
555   1134  -1
555   1643  -1
560   35    -1
561   2026  -1
568   29    -1
568   74    -1
572   226   -1
573   1116  -1
577   1153  -1
581   2036  -1
591   2018  -1
592   218   -1
592   388   -1
593   17    -1
593   896   -1
594   227   -1
597   350   -1
598   896   -1
598   1098  -1
598   1183  -1
601   187   -1
602   358   -1
606   366   -1
606   910   -1
608   1156  -1
608   1968  -1
608   1987  -1
