# Filename: CLN3-561nm_416_ctrl_003.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
2     420
5     1181
7     1319
10    1236
11    384
11    1333
15    590
18    1147
19    1229
23    373
23    387
23    442
25    1254
26    482
26    572
28    1238
32    1708
36    488
36    1245
39    1182
43    495
49    477
50    1851
53    1179
54    1191
59    425
59    469
68    461
73    438
73    1700
78    475
78    1801
80    1726
84    1714
87    1940
89    1996
96    800
97    1803
98    1660
99    1788
102   1784
104   1665
113   774
114   1669
118   1725
119   1712
121   210
125   1968
129   777
131   1771
132   781
135   1723
141   1667
145   581
147   506
152   607
152   1687
154   528
154   588
154   1767
156   426
158   189
158   625
160   523
162   600
163   508
165   799
165   807
169   203
171   353
171   472
172   638
173   1783
178   369
179   1808
179   1859
180   241
180   364
180   1793
187   344
189   803
192   649
192   836
193   676
196   1808
202   1756
203   1840
207   1692
210   1895
211   243
212   2037
218   1661
222   851
223   1838
223   1847
224   1752
226   1677
228   1800
228   1824
233   1313
233   1798
234   1662
234   1918
235   1296
235   1824
235   1947
237   1887
239   302
239   1678
240   1841
241   1658
241   1764
242   1293
242   1734
246   274
246   1670
247   1661
248   1656
250   1783
251   1764
253   1321
254   437
254   1726
257   1762
258   1907
260   1938
263   1795
274   1735
277   1337
278   1755
280   1336
281   1914
284   1870
285   1905
287   1763
289   1887
292   695
292   1739
299   1128
301   1743
302   409
304   1999
306   1891
311   1918
313   1143
315   1998
317   2016
318   731
318   1921
319   944
332   1843
332   1871
332   2016
334   327
338   1770
343   1809
343   1831
345   315
350   427
353   1853
354   1818
356   785
356   793
356   1141
356   1811
356   2031
359   875
360   1827
362   1843
364   411
367   1149
369   1818
371   1905
372   1146
372   1939
376   425
376   2047
377   760
377   775
378   769
382   1900
383   1823
384   1833
388   413
389   788
390   889
393   742
395   1807
396   1148
399   1165
399   1929
400   1862
402   1806
403   787
404   1835
408   1866
412   742
412   1142
412   1870
414   247
416   826
417   414
419   421
421   1846
422   257
424   738
424   1133
425   245
425   1144
426   1998
428   821
431   1878
431   1970
432   1985
433   894
436   251
438   711
440   1141
441   742
441   2006
442   1861
443   693
443   1148
445   1138
446   1153
447   469
450   664
450   700
451   710
452   252
452   626
452   654
453   775
455   1964
456   908
456   1612
458   718
459   628
460   1975
463   500
463   854
463   1932
464   711
464   1957
464   1970
466   621
466   862
466   1287
468   630
468   679
468   722
469   1963
470   583
470   728
473   1131
473   1594
475   502
475   709
478   619
478   658
478   731
478   862
479   853
480   1132
482   518
482   567
482   1956
485   660
485   704
486   499
487   758
489   678
490   712
492   764
492   1633
492   1953
493   609
493   1817
495   1204
498   1812
498   1954
501   591
501   698
503   815
503   847
504   717
505   733
509   1966
511   582
512   740
512   1952
512   1991
514   1815
515   612
515   716
515   1948
517   1955
517   1999
518   1989
521   559
521   1966
522   90
523   555
525   739
526   513
528   1727
532   507
532   613
532   718
534   639
534   1989
538   1721
538   2047
542   704
542   1733
543   1692
544   65
544   514
545   1727
547   2000
551   1818
551   2036
554   1718
555   1134
555   1643
558   1729
559   690
560   35
561   2026
563   700
564   1136
568   29
568   74
571   1195
572   226
572   701
573   1116
577   1153
578   878
581   2036
583   870
588   410
588   1165
589   1130
591   2018
592   218
592   388
593   17
593   896
593   1164
594   212
594   227
594   887
595   673
596   355
597   350
597   1177
598   420
598   872
598   896
598   1098
598   1183
601   187
602   358
605   215
606   366
606   402
606   910
607   838
608   1156
608   1968
608   1987
609   345
609   2047
610   3
610   351
611   397
611   1176
613   918
614   200
615   1211
617   1974
618   1164
619   1688
620   344
621   294
622   650
623   2040
625   195
627   158
628   169
628   198
628   225
628   252
628   368
633   365
633   1153
633   2038
634   2027
636   1211
637   809
638   362
639   1964
640   1470
642   246
645   165
645   1218
647   1235
649   1158
649   1182
649   2015
650   626
650   1103
651   363
652   243
652   1751
652   1851
656   804
657   278
658   107
658   1161
660   162
662   198
664   117
665   1103
666   181
667   238
667   1606
668   1267
668   1881
670   1942
671   1140
672   237
673   781
673   1128
674   139
676   193
677   1797
678   781
681   1107
682   110
682   1882
683   1640
685   190
689   1275
691   1641
691   1953
691   1969
693   1268
693   1964
694   309
695   108
696   118
696   906
697   1945
699   103
699   133
700   206
700   771
702   120
702   600
703   107
703   1967
706   1779
706   1941
707   634
708   129
708   612
708   1928
708   1981
709   756
709   1615
709   1922
710   142
710   1402
711   1816
