# Filename: CLN3-561nm_416_ctrl_009.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
397   829   2             0
673   1211  2             1
1134  1458  2             2
1209  1655  2             3
1463  633   2             4
1718  824   3             5
279   1030  2             6
352   1420  2             7
356   1326  3             8
379   1334  2             9
384   1375  2             10
417   832   2             11
432   1237  6             12
432   937   2             13
433   1228  2             14
438   962   2             15
447   801   2             16
458   816   2             17
459   897   2             18
469   607   2             19
474   915   2             20
482   923   2             21
495   1235  2             22
504   1051  8             23
514   962   2             24
516   772   2             25
516   855   2             26
517   594   2             27
529   694   2             28
530   888   2             29
537   998   2             30
545   1072  2             31
542   1069  2             32
546   987   2             33
549   710   2             34
551   822   2             35
556   664   2             36
561   1019  2             37
565   715   3             38
567   513   2             39
576   790   2             40
577   997   2             41
587   672   2             42
588   758   2             43
589   997   2             44
593   813   2             45
595   875   2             46
600   745   2             47
600   808   3             48
605   624   3             49
606   985   2             50
609   1205  2             51
614   526   2             52
613   611   2             53
615   841   2             54
624   762   2             55
626   667   2             56
628   880   2             57
627   1050  2             58
630   845   2             59
631   887   2             60
632   914   2             61
631   1182  2             62
632   1192  2             63
632   1392  2             64
636   922   2             65
637   1075  2             66
640   417   2             67
639   997   2             68
642   870   2             69
644   911   2             70
648   1064  2             71
652   758   2             72
652   821   3             73
654   906   3             74
656   1086  2             75
657   714   2             76
659   816   6             77
658   860   2             78
661   882   2             79
670   774   2             80
670   846   2             81
671   1133  2             82
673   399   2             83
674   1049  2             84
682   406   6             85
682   668   2             86
684   904   3             87
685   1058  2             88
686   767   2             89
687   746   3             90
688   890   2             91
687   900   2             92
691   1026  2             93
697   680   2             94
703   797   4             95
704   1005  2             96
706   725   2             97
704   758   2             98
713   975   2             99
713   1091  2             100
715   840   2             101
721   651   2             102
722   794   2             103
723   669   2             104
725   756   2             105
727   1201  2             106
731   729   2             107
736   661   2             108
736   744   2             109
737   693   2             110
752   729   2             111
756   654   2             112
756   756   2             113
757   774   2             114
759   963   2             115
761   716   2             116
761   677   2             117
762   892   3             118
765   650   2             119
762   647   2             120
763   702   2             121
767   928   2             122
769   675   2             123
770   814   2             124
771   375   2             125
775   915   2             126
775   1129  2             127
778   733   3             128
781   661   17            129
782   772   2             130
786   1063  2             131
787   758   2             132
788   1116  2             133
788   647   2             134
789   843   2             135
792   660   2             136
797   862   2             137
798   663   2             138
798   672   2             139
802   897   2             140
802   739   2             141
809   769   2             142
816   828   2             143
816   1259  2             144
818   871   3             145
819   694   2             146
822   755   2             147
822   861   2             148
827   675   3             149
827   787   3             150
833   677   2             151
835   1501  2             152
836   375   2             153
839   1510  4             154
843   910   2             155
845   713   2             156
851   802   2             157
855   1312  7             158
855   231   2             159
861   1280  2             160
868   1466  2             161
870   686   2             162
875   833   2             163
878   663   2             164
880   835   2             165
885   845   2             166
890   663   2             167
893   670   2             168
893   789   2             169
894   1463  2             170
897   1291  2             171
909   418   2             172
911   685   2             173
913   1633  2             174
916   919   2             175
920   668   2             176
936   676   2             177
938   901   3             178
941   677   2             179
941   1443  2             180
952   875   2             181
954   677   2             182
959   424   7             183
965   900   2             184
974   691   2             185
974   885   3             186
979   887   2             187
983   901   2             188
987   413   2             189
992   1559  2             190
1000  418   2             191
1005  683   2             192
1017  665   2             193
1026  405   2             194
1029  423   2             195
1033  1643  2             196
1036  1430  3             197
1051  79    39            198
1063  54    3             199
1063  901   2             200
1078  598   2             201
1080  882   2             202
1090  620   2             203
1091  1593  2             204
1094  654   2             205
1104  596   2             206
1114  649   4             207
1113  890   2             208
1116  812   3             209
1126  628   2             210
1127  1620  2             211
1132  619   2             212
1154  1472  2             213
1156  872   2             214
1161  1232  2             215
1162  802   2             216
1172  1461  4             217
1176  621   2             218
1181  794   2             219
1188  623   2             220
1202  593   2             221
1208  1480  2             222
1211  622   2             223
1216  601   2             224
1227  1581  2             225
1249  874   2             226
1250  499   2             227
1255  234   6             228
1253  598   2             229
1256  583   2             230
1261  603   2             231
1261  572   2             232
1276  1673  2             233
1286  1523  2             234
1287  594   2             235
1289  842   2             236
1290  859   2             237
1299  585   3             238
1311  734   2             239
1314  818   2             240
1318  694   2             241
1322  1496  2             242
1327  571   3             243
1329  1509  3             244
1333  1509  2             245
1331  1545  2             246
1341  1493  2             247
1345  1497  2             248
1347  1541  2             249
1355  874   2             250
1355  705   2             251
1368  1005  2             252
1369  1566  2             253
1375  556   2             254
1377  271   2             255
1382  1454  2             256
1391  555   3             257
1399  1453  2             258
1402  1239  2             259
1409  1454  2             260
1427  571   3             261
1435  1448  2             262
1442  35    2             263
1444  562   2             264
1452  998   2             265
1452  1418  2             266
1463  1420  2             267
1466  614   2             268
1468  715   2             269
1471  751   2             270
1487  629   2             271
1490  643   2             272
1500  1388  2             273
1502  778   2             274
1523  1361  2             275
1533  1211  3             276
1532  1345  2             277
1534  1363  2             278
1536  821   5             279
1644  461   2             280
1651  1210  2             281
1662  767   3             282
1690  332   2             283
1695  840   2             284
1711  800   2             285
1719  985   2             286
1736  276   2             287
1737  1246  3             288
1766  781   4             289
1814  1653  4             290
1900  1546  4             291
1900  1652  4             292
1923  690   3             293
1963  1030  6             294
2026  1337  4             295
